Specimen_ID,Species,Location,Site,Date,Total_Length_cm,Standard_Length_cm,Weight_g,Gonad Weight_g
SPU_DGT_104,Sphyraena obtusata,Dumaguete,Silliman Beach,7/15/2019,27.4,23.5,89.2,0.374
SPU_DGT_105,Sphyraena obtusata,Dumaguete,Silliman Beach,7/15/2019,29.8,25.5,121.89,0.586
SPU_DGT_106,Sphyraena obtusata,Dumaguete,Silliman Beach,7/15/2019,28.8,24.4,97.54,0.443
SPU_DGT_107,Sphyraena obtusata,Dumaguete,Silliman Beach,7/15/2019,26.7,22.6,84.09,0.442
SPU_DGT_108,Sphyraena obtusata,Dumaguete,Silliman Beach,7/15/2019,27.5,23.5,87.03,0.509
SPU_DGT_109,Sphyraena obtusata,Dumaguete,Silliman Beach,7/15/2019,29.7,25.5,118.1,0.603
SPU_DGT_110,Sphyraena obtusata,Dumaguete,Silliman Beach,7/15/2019,28.2,24.1,99.39,0.343
SPU_DGT_111,Sphyraena obtusata,Dumaguete,Silliman Beach,7/15/2019,28.2,24.0,101.67,0.561
SPU_DGT_112,Sphyraena obtusata,Dumaguete,Silliman Beach,7/15/2019,29.8,25.4,108.23,0.794
SPU_DGT_113,Sphyraena obtusata,Dumaguete,Silliman Beach,7/15/2019,33.2,28.0,158.69,0.626
SPU_DGT_114,Sphyraena obtusata,Dumaguete,Silliman Beach,7/15/2019,31.5,26.9,145.53,0.577
SPU_DGT_115,Sphyraena obtusata,Dumaguete,Silliman Beach,7/15/2019,34.8,29.7,194.03,5.231
SPU_DGT_116,Sphyraena obtusata,Dumaguete,Silliman Beach,7/15/2019,35.4,30.3,179.0,3.577
SPU_DGT_117,Sphyraena obtusata,Dumaguete,Silliman Beach,7/15/2019,36.0,30.4,206.78,0.601
SPU_DGT_118,Sphyraena obtusata,Dumaguete,Silliman Beach,7/15/2019,30.0,25.3,113.71,4.855
SPU_C_KAL_001,Sphyraena obtusata,Kalibo,Kalibo Public Market,7/5/2019,27.3,23.0,115.28,2.631
SPU_C_KAL_002,Sphyraena obtusata,Kalibo,Kalibo Public Market,7/5/2019,24.3,20.5,81.68,2.374
SPU_C_KAL_003,Sphyraena obtusata,Kalibo,Kalibo Public Market,7/5/2019,22.1,18.9,59.23,0.314
SPU_C_KAL_004,Sphyraena obtusata,Kalibo,Kalibo Public Market,7/5/2019,25.7,21.8,92.33,3.846
SPU_C_KAL_005,Sphyraena obtusata,Kalibo,Kalibo Public Market,7/5/2019,24.8,21.4,84.22,0.502
SPU_C_KAL_006,Sphyraena obtusata,Kalibo,Kalibo Public Market,7/5/2019,25.3,21.6,96.77,1.01
SPU_C_KAL_007,Sphyraena obtusata,Kalibo,Kalibo Public Market,7/5/2019,25.8,21.9,95.46,1.708
SPU_C_KAL_008,Sphyraena obtusata,Kalibo,Kalibo Public Market,7/5/2019,25.3,21.6,94.22,1.449
SPU_C_KAL_009,Sphyraena obtusata,Kalibo,Kalibo Public Market,7/5/2019,21.3,17.9,52.63,0.528
SPU_C_KAL_010,Sphyraena obtusata,Kalibo,Kalibo Public Market,7/5/2019,25.6,21.8,94.07,4.514
SPU_C_KAL_011,Sphyraena obtusata,Kalibo,Kalibo Public Market,7/5/2019,24.9,21.1,86.75,1.114
SPU_C_KAL_012,Sphyraena obtusata,Kalibo,Kalibo Public Market,7/5/2019,24.9,21.0,87.86,0.712
SPU_C_KAL_013,Sphyraena obtusata,Kalibo,Kalibo Public Market,7/5/2019,22.3,19.0,67.99,0.972
SPU_C_KAL_014,Sphyraena obtusata,Kalibo,Kalibo Public Market,7/5/2019,22.0,18.4,58.87,1.506
SPU_C_KAL_015,Sphyraena obtusata,Kalibo,Kalibo Public Market,7/5/2019,26.0,22.1,89.81,0.603
SPU_C_KAL_016,Sphyraena obtusata,Kalibo,Kalibo Public Market,7/5/2019,26.0,22.0,100.54,0.562
SPU_C_KAL_017,Sphyraena obtusata,Kalibo,Kalibo Public Market,7/5/2019,24.0,20.2,76.28,1.015
SPU_C_KAL_018,Sphyraena obtusata,Kalibo,Kalibo Public Market,7/5/2019,26.2,22.1,104.67,1.273
SPU_C_KAL_019,Sphyraena obtusata,Kalibo,Kalibo Public Market,7/5/2019,28.1,23.8,123.87,4.389
SPU_C_KAL_020,Sphyraena obtusata,Kalibo,Kalibo Public Market,7/5/2019,29.3,24.6,145.20,5.058
SPU_C_KAL_021,Sphyraena obtusata,Kalibo,Kalibo Public Market,7/5/2019,28.2,24.2,134.54,5.605
SPU_C_KAL_022,Sphyraena obtusata,Kalibo,Kalibo Public Market,7/5/2019,24.8,21.2,90.49,1.635
SPU_C_KAL_023,Sphyraena obtusata,Kalibo,Kalibo Public Market,7/5/2019,28.1,23.9,128.43,4.879
SPU_C_KAL_024,Sphyraena obtusata,Kalibo,Kalibo Public Market,7/5/2019,21.7,18.7,56.66,0.193
SPU_C_KAL_025,Sphyraena obtusata,Kalibo,Kalibo Public Market,7/5/2019,25.3,21.4,90.86,1.678
SPU_C_KAL_026,Sphyraena obtusata,Kalibo,Kalibo Public Market,7/5/2019,25.3,21.4,92.44,0.603
SPU_C_KAL_027,Sphyraena obtusata,Kalibo,Kalibo Public Market,7/5/2019,26.3,22.2,110.08,0.975
SPU_C_KAL_028,Sphyraena obtusata,Kalibo,Kalibo Public Market,7/5/2019,25.0,21.3,84.66,0.961
SPU_C_KAL_029,Sphyraena obtusata,Kalibo,Kalibo Public Market,7/5/2019,27.9,23.5,126.85,6.081
SPU_C_KAL_030,Sphyraena obtusata,Kalibo,Kalibo Public Market,7/5/2019,29.8,25.2,151.12,4.472
